t,tau,kappa,lambda_free,lambda_class,lambda_transverse,lambda_one_perp,beta_free,beta_class,beta_transverse,beta_one_perp,free_alignment_m,trans_alignment_m
2.05,0.001,1.0740005222400246,82.10552851531796,5.305692236415638,81.45590653890912,5.6073460176088705,0.006089723908259331,0.09423840994173167,0.006138290287901523,0.0891687437211542,0.008193774248464182,7.383877407417298e-34
2.05,0.004216965034285823,1.0740005222400246,81.31673211164357,4.402787747581479,80.58803992176591,5.016411774520952,0.0061487960351570255,0.11356441161049789,0.006204394603534161,0.09967283837016112,0.009282960125362626,6.5595766875825534e-34
2.05,0.01778279410038923,1.0740005222400246,79.73609340939198,5.624843412350515,79.05902716052546,4.99043111108632,0.0062706859418460775,0.0888913634292727,0.006324388472233216,0.10019174473508757,0.008800447175000803,7.554902307529216e-34
2.05,0.07498942093324558,1.0740005222400246,73.51720368355313,4.603250385000599,72.95285272607912,4.849965403240633,0.00680112919082445,0.10861890146780165,0.006853741578514865,0.10309351890756,0.00794445356880162,7.4207824199033485e-34
2.05,0.31622776601683794,1.0740005222400246,53.211053810882966,3.1671829773133755,52.872693334296656,4.020721819219078,0.00939654384175601,0.15786899701770143,0.009456677321858079,0.12435578049941096,0.006561625636250971,7.457993703769087e-34
2.05,1.333521432163324,1.0740005222400246,16.189454260152704,2.5916176076895487,16.023671030215684,2.1234170605606755,0.03088430233443112,0.1929296970804866,0.03120383581622181,0.23546952187903117,0.011093740091010745,5.650465887045904e-34
2.05,5.623413251903491,1.0740005222400246,2.935737268720673,2.157169239223478,2.1819973811537388,0.12995631802796448,0.17031496834793006,0.2317852447126431,0.22914784606002747,3.8474466465909583,0.4018465460662903,3.6585491195772156e-33
2.05,23.71373705661655,1.0740005222400246,2.518364400162307,2.2529210052583153,1.5639964581833647,0.12430816349470904,0.1985415613275725,0.22193410192057356,0.31969381860414636,4.022261981380504,0.8366530152198288,2.9975496476415757e-33
2.05,100.0,1.0740005222400246,3.046544594127933,2.0469016631543084,1.9520837758087786,0.14257285013152007,0.16412036146253225,0.24427162721119292,0.2561365481319275,3.5069790604505826,0.4421445191924265,6.472121710152987e-33
