beta,step,test_best_mse,test_class_mi_norm,test_class_purity,test_eff_frac_mean,test_eff_frac_min,test_expert_align_m,test_expert_diversity,test_mean_mse,test_soft_mse,test_usage_entropy,train_best_mse,train_class_mi_norm,train_class_purity,train_eff_frac_mean,train_eff_frac_min,train_expert_align_m,train_expert_diversity,train_mean_mse,train_soft_mse,train_usage_entropy,variant
58.3461,0,0.9984403848648071,0.0011544740991666913,0.03808593240682967,0.8955706655979156,0.8916661143302917,0.12382569164037704,0.8645179271697998,0.9985998868942261,0.9985376596450806,0.9943536520004272,1.000719428062439,0.0006608094554394484,0.03710934374248609,0.8896939754486084,0.8811774253845215,0.12382569164037704,0.8645179271697998,1.0008833408355713,1.0008172988891602,0.9963128566741943,grid_58.3461
58.3461,200,0.3273065686225891,0.0,0.02734375,0.25,0.0,0.09306251257658005,0.7349826097488403,0.7465760707855225,0.3273065686225891,-0.0,0.3241652250289917,0.0,0.0205078125,0.25,0.0,0.09306251257658005,0.7349826097488403,0.7395496964454651,0.3241652250289917,-0.0,grid_58.3461
58.3461,400,0.12461243569850922,0.0,0.03515625,0.25,0.0,0.07908008992671967,0.7887739539146423,0.6880514621734619,0.12461243569850922,-0.0,0.12581506371498108,0.0,0.0078125,0.25,0.0,0.07908008992671967,0.7887739539146423,0.6918075084686279,0.12581506371498108,-0.0,grid_58.3461
58.3461,600,0.0639074295759201,0.0,0.0234375,0.25,0.0,0.07269630581140518,0.8055005669593811,0.6765944957733154,0.0639074295759201,-0.0,0.06326887011528015,0.0,0.0107421875,0.25,0.0,0.07269630581140518,0.8055005669593811,0.6705831289291382,0.06326887011528015,-0.0,grid_58.3461
58.3461,800,0.046174198389053345,0.0,0.001953125,0.25,0.0,0.06992077827453613,0.8125908374786377,0.673461377620697,0.046174198389053345,-0.0,0.045388489961624146,0.0,0.0302734375,0.25,0.0,0.06992077827453613,0.8125908374786377,0.6688314080238342,0.045388489961624146,-0.0,grid_58.3461
58.3461,1000,0.04103751480579376,0.0,0.009765625,0.25,0.0,0.06808792054653168,0.815742015838623,0.6669613122940063,0.04103751480579376,-0.0,0.04095645248889923,0.0,0.0400390625,0.25,0.0,0.06808792054653168,0.815742015838623,0.6647622585296631,0.04095645248889923,-0.0,grid_58.3461
58.3461,1200,0.0405476912856102,0.0,0.01953125,0.25,0.0,0.06808002293109894,0.8170408606529236,0.6688300967216492,0.0405476912856102,-0.0,0.03989073634147644,0.0,0.021484375,0.25,0.0,0.06808002293109894,0.8170408606529236,0.6650950312614441,0.03989073634147644,-0.0,grid_58.3461
58.3461,1400,0.0400630347430706,0.0,0.001953125,0.25,0.0,0.06675319373607635,0.8174688220024109,0.664771556854248,0.0400630347430706,-0.0,0.039925940334796906,0.0,0.0107421875,0.25,0.0,0.06675319373607635,0.8174688220024109,0.6700513362884521,0.039925940334796906,-0.0,grid_58.3461
58.3461,1600,0.039562202990055084,0.0,0.0595703125,0.25,0.0,0.06617069244384766,0.8175576329231262,0.6680481433868408,0.039562202990055084,-0.0,0.03880022466182709,0.0,0.0400390625,0.25,0.0,0.06617069244384766,0.8175576329231262,0.6628351807594299,0.03880022466182709,-0.0,grid_58.3461
58.3461,1800,0.039847396314144135,0.0,0.029296875,0.25,0.0,0.06500771641731262,0.8174850344657898,0.6694811582565308,0.039847396314144135,-0.0,0.03915749490261078,0.0,0.0068359375,0.25,0.0,0.06500771641731262,0.8174850344657898,0.6679778695106506,0.03915749490261078,-0.0,grid_58.3461
58.3461,2000,0.03872919827699661,0.0,0.015625,0.25,0.0,0.06472407281398773,0.8173877596855164,0.6625779271125793,0.03872919827699661,-0.0,0.03964276984333992,0.0,0.025390625,0.25,0.0,0.06472407281398773,0.8173877596855164,0.6704548001289368,0.03964276984333992,-0.0,grid_58.3461
58.3461,2200,0.03878069669008255,0.0,0.0029296875,0.25,0.0,0.06385616958141327,0.817296028137207,0.6684025526046753,0.03878069669008255,-0.0,0.038767989724874496,0.0,0.0029296875,0.25,0.0,0.06385616958141327,0.817296028137207,0.6657376885414124,0.038767989724874496,-0.0,grid_58.3461
58.3461,2400,0.03829165920615196,0.0,0.021484375,0.25,0.0,0.06368313729763031,0.8172231912612915,0.6641072630882263,0.03829165920615196,-0.0,0.03802266716957092,0.0,0.0146484375,0.25,0.0,0.06368313729763031,0.8172231912612915,0.6651721596717834,0.03802266716957092,-0.0,grid_58.3461
58.3461,2600,0.03843463957309723,0.0,0.0244140625,0.25,0.0,0.06321880966424942,0.817173421382904,0.6660605669021606,0.03843463957309723,-0.0,0.038151368498802185,0.0,0.0146484375,0.25,0.0,0.06321880966424942,0.817173421382904,0.6664088368415833,0.038151368498802185,-0.0,grid_58.3461
58.3461,2800,0.03873473405838013,0.0,0.01953125,0.25,0.0,0.0626353994011879,0.8171382546424866,0.6716341972351074,0.03873473405838013,-0.0,0.038526587188243866,0.0,0.0302734375,0.25,0.0,0.0626353994011879,0.8171382546424866,0.6677142381668091,0.038526587188243866,-0.0,grid_58.3461
58.3461,3000,0.03853733837604523,0.0,0.0166015625,0.25,0.0,0.06330108642578125,0.8171094059944153,0.6706339120864868,0.03853733837604523,-0.0,0.03846662864089012,0.0,0.0595703125,0.25,0.0,0.06330108642578125,0.8171094059944153,0.6677917242050171,0.03846662864089012,-0.0,grid_58.3461
58.3461,3200,0.03848666325211525,0.0,0.0107421875,0.25,0.0,0.06256444752216339,0.8171432614326477,0.6718786954879761,0.03848666325211525,-0.0,0.037832435220479965,0.0,0.0078125,0.25,0.0,0.06256444752216339,0.8171432614326477,0.6651050448417664,0.037832435220479965,-0.0,grid_58.3461
58.3461,3400,0.038149215281009674,0.0,0.0029296875,0.25,0.0,0.06306251883506775,0.8171977996826172,0.6687608957290649,0.038149215281009674,-0.0,0.03826442360877991,0.0,0.0009765625,0.25,0.0,0.06306251883506775,0.8171977996826172,0.6694844365119934,0.03826442360877991,-0.0,grid_58.3461
58.3461,3600,0.03785616159439087,0.0,0.0224609375,0.25,0.0,0.06271389871835709,0.8172546625137329,0.6624542474746704,0.03785616159439087,-0.0,0.03812462091445923,0.0,0.04296875,0.25,0.0,0.06271389871835709,0.8172546625137329,0.669671356678009,0.03812462091445923,-0.0,grid_58.3461
58.3461,3800,0.038117166608572006,0.0,0.037109375,0.25,0.0,0.062479447573423386,0.8172961473464966,0.6696383953094482,0.038117166608572006,-0.0,0.03773566335439682,0.0,0.0107421875,0.25,0.0,0.062479447573423386,0.8172961473464966,0.6673560738563538,0.03773566335439682,-0.0,grid_58.3461
58.3461,4000,0.03762182220816612,0.0,0.0087890625,0.25,0.0,0.06216323375701904,0.8173807263374329,0.6695772409439087,0.03762182220816612,-0.0,0.0377374142408371,0.0,0.0087890625,0.25,0.0,0.06216323375701904,0.8173807263374329,0.6652190685272217,0.0377374142408371,-0.0,grid_58.3461
